ExerciseKey,ContentId,Instruction,NotesToRead,AllAnswers,PossibleAnswers,CorrectAnswer
stammtoene_klavier_cde_lesen,1,"Bezeichne die Note","c","c,d,e,f,g,a,h","c,d,e","c"
stammtoene_klavier_cde_lesen,2,"Bezeichne die Note","d","c,d,e,f,g,a,h","c,d,e","d"
stammtoene_klavier_cde_lesen,3,"Bezeichne die Note","e","c,d,e,f,g,a,h","c,d,e","e"
stammtoene_klavier_cde_schreiben,1,"Markiere die Note: c","","","","c"
stammtoene_klavier_cde_schreiben,2,"Markiere die Note: d","","","","d"
stammtoene_klavier_cde_schreiben,3,"Markiere die Note: e","","","","e"
stammtoene_klavier_efg_lesen,1,"Bezeichne die Note","e","c,d,e,f,g,a,h","e,f,g","e"
stammtoene_klavier_efg_lesen,2,"Bezeichne die Note","f","c,d,e,f,g,a,h","e,f,g","f"
stammtoene_klavier_efg_lesen,3,"Bezeichne die Note","g","c,d,e,f,g,a,h","e,f,g","g"
stammtoene_klavier_efg_schreiben,1,"Markiere die Note: e","","","","e"
stammtoene_klavier_efg_schreiben,2,"Markiere die Note: f","","","","f"
stammtoene_klavier_efg_schreiben,3,"Markiere die Note: g","","","","g"
stammtoene_klavier_c_bis_g_lesen,1,"Bezeichne die Note","c","c,d,e,f,g,a,h","c,d,e,f,g","c"
stammtoene_klavier_c_bis_g_lesen,2,"Bezeichne die Note","d","c,d,e,f,g,a,h","c,d,e,f,g","d"
stammtoene_klavier_c_bis_g_lesen,3,"Bezeichne die Note","e","c,d,e,f,g,a,h","c,d,e,f,g","e"
stammtoene_klavier_c_bis_g_lesen,4,"Bezeichne die Note","f","c,d,e,f,g,a,h","c,d,e,f,g","f"
stammtoene_klavier_c_bis_g_lesen,5,"Bezeichne die Note","g","c,d,e,f,g,a,h","c,d,e,f,g","g"
stammtoene_klavier_c_bis_g_schreiben,1,"Markiere die Note: c","","","","c"
stammtoene_klavier_c_bis_g_schreiben,2,"Markiere die Note: d","","","","d"
stammtoene_klavier_c_bis_g_schreiben,3,"Markiere die Note: e","","","","e"
stammtoene_klavier_c_bis_g_schreiben,4,"Markiere die Note: f","","","","f"
stammtoene_klavier_c_bis_g_schreiben,5,"Markiere die Note: g","","","","g"
stammtoene_klavier_gahc_lesen,1,"Bezeichne die Note","g","c,d,e,f,g,a,h","g,a,h,c","g"
stammtoene_klavier_gahc_lesen,2,"Bezeichne die Note","a","c,d,e,f,g,a,h","g,a,h,c","a"
stammtoene_klavier_gahc_lesen,3,"Bezeichne die Note","h","c,d,e,f,g,a,h","g,a,h,c","h"
stammtoene_klavier_gahc_lesen,4,"Bezeichne die Note","c","c,d,e,f,g,a,h","g,a,h,c","c"
stammtoene_klavier_gahc_schreiben,1,"Markiere die Note: g","","","","g"
stammtoene_klavier_gahc_schreiben,2,"Markiere die Note: a","","","","a"
stammtoene_klavier_gahc_schreiben,3,"Markiere die Note: h","","","","h"
stammtoene_klavier_gahc_schreiben,4,"Markiere die Note: c","","","","c"
stammtoene_klavier_alle_lesen,1,"Bezeichne die Note","c","c,d,e,f,g,a,h","c,d,e,f,g,a,h","c"
stammtoene_klavier_alle_lesen,2,"Bezeichne die Note","d","c,d,e,f,g,a,h","c,d,e,f,g,a,h","d"
stammtoene_klavier_alle_lesen,3,"Bezeichne die Note","e","c,d,e,f,g,a,h","c,d,e,f,g,a,h","e"
stammtoene_klavier_alle_lesen,4,"Bezeichne die Note","f","c,d,e,f,g,a,h","c,d,e,f,g,a,h","f"
stammtoene_klavier_alle_lesen,5,"Bezeichne die Note","g","c,d,e,f,g,a,h","c,d,e,f,g,a,h","g"
stammtoene_klavier_alle_lesen,6,"Bezeichne die Note","a","c,d,e,f,g,a,h","c,d,e,f,g,a,h","a"
stammtoene_klavier_alle_lesen,7,"Bezeichne die Note","h","c,d,e,f,g,a,h","c,d,e,f,g,a,h","h"
stammtoene_klavier_alle_schreiben,1,"Markiere die Note: c","","","","c"
stammtoene_klavier_alle_schreiben,2,"Markiere die Note: d","","","","d"
stammtoene_klavier_alle_schreiben,3,"Markiere die Note: e","","","","e"
stammtoene_klavier_alle_schreiben,4,"Markiere die Note: f","","","","f"
stammtoene_klavier_alle_schreiben,5,"Markiere die Note: g","","","","g"
stammtoene_klavier_alle_schreiben,6,"Markiere die Note: a","","","","a"
stammtoene_klavier_alle_schreiben,7,"Markiere die Note: h","","","","h"
stammtoene_violin_cde_lesen,1,"Bezeichne die Note","X:5 % L:4/4 % K:C % C","c,d,e,f,g,a,h","c,d,e","c"
stammtoene_violin_cde_lesen,2,"Bezeichne die Note","X:5 % L:4/4 % K:C % D","c,d,e,f,g,a,h","c,d,e","d"
stammtoene_violin_cde_lesen,3,"Bezeichne die Note","X:5 % L:4/4 % K:C % E","c,d,e,f,g,a,h","c,d,e","e"
stammtoene_violin_cde_schreiben,1,"Markiere die Note: c","","","","c"
stammtoene_violin_cde_schreiben,2,"Markiere die Note: d","","","","d"
stammtoene_violin_cde_schreiben,3,"Markiere die Note: e","","","","e"
